iter	Passed	Remaining
913	48031	4519
914	48089	4467
915	48137	4414
916	48195	4362
917	48241	4309
918	48296	4256
919	48349	4204
920	48398	4151
921	48447	4098
922	48504	4046
923	48569	3994
924	48630	3942
925	48686	3890
926	48741	3838
927	48793	3785
928	48846	3733
929	48900	3680
930	48956	3628
931	49006	3575
932	49056	3522
933	49109	3470
934	49166	3417
935	49216	3365
936	49268	3312
937	49324	3260
938	49372	3207
939	49425	3154
940	49477	3102
941	49525	3049
942	49576	2996
943	49630	2944
944	49679	2891
945	49726	2838
946	49771	2785
947	49821	2732
948	49868	2679
949	49918	2627
950	49971	2574
951	50018	2521
952	50072	2469
953	50119	2416
954	50168	2363
955	50216	2311
956	50269	2258
957	50316	2205
958	50363	2153
959	50418	2100
960	50468	2048
961	50522	1995
962	50570	1943
963	50620	1890
964	50672	1837
965	50725	1785
966	50778	1732
967	50833	1680
968	50880	1627
969	50936	1575
970	50989	1522
971	51042	1470
972	51089	1417
973	51144	1365
974	51199	1312
975	51252	1260
976	51300	1207
977	51349	1155
978	51400	1102
979	51448	1049
980	51501	997
981	51548	944
982	51600	892
983	51657	839
984	51717	787
985	51778	735
986	51838	682
987	51889	630
988	51937	577
989	51992	525
990	52048	472
991	52098	420
992	52147	367
993	52197	315
994	52251	262
995	52310	210
996	52366	157
997	52420	105
998	52471	52
999	52522	0
